c[?7l[2J[0mSeaBIOS (version rel-1.17.0-0-gb52ca86e094d-prebuilt.qemu.org)


iPXE (http://ipxe.org) 00:03.0 CA00 PCI2.10 PnP PMM+06FD1E30+06F31E30 CA00
Press Ctrl-B to configure iPXE (PCI 00:03.0)...
                                                                               


Booting from ROM..
*** Booting Zephyr OS build 0d7e0b8969b4 ***

=============================================
        Mini Estacao Ambiental - UFSM
=============================================
 Tempo (s) |  Temp (┬---------------------------------------------
22,743,53
29,700,68
22,256,56
25,711,43
28,705,73
27,631,77
27,972,68
24,223,72
29,164,71
22,531,40
24,310,62
22,363,70
26,236,71
26,710,70
24,134,65
28,30,46
24,743,64
24,508,52
22,613,50
27,119,55
27,49,79
25,573,76
24,93,45
28,306,74
25,352,63
20,534,57
25,656,43
21,427,66
22,968,41
24,540,51
24,847,44
27,625,51
27,18,71
26,591,70
20,913,42
25,273,41
20,830,77
24,637,48
23,988,78
26,93,40
26,211,67
28,689,63
23,900,74
23,183,50
22,787,50
20,950,62
25,860,47
26,731,66
20,219,55
23,58,46
22,268,45
21,518,49
29,106,50
22,814,75
20,673,55
22,95,65
28,694,73
22,547,76
24,143,40
26,679,69
20,529,47
26,395,66
25,112,52
24,153,63
25,717,57
26,287,54
28,2,41
25,870,54
20,381,40
27,405,74
29,702,45
24,732,72
27,563,67
23,349,66
29,528,71
23,256,73
24,528,70
24,340,54
20,719,45
24,131,69
22,751,57
22,673,73
25,978,56
25,597,52
24,917,63
27,401,62
27,45,43
23,398,51
27,807,77
20,893,40
26,161,53
28,753,50
23,634,49
21,390,74
24,693,45
28,765,58
28,841,63
25,309,49
26,243,61
21,516,44
26,912,51
22,152,43
22,4,77
22,804,43
23,273,66
26,827,59
25,577,44
27,156,68
24,454,79
23,656,64
24,847,76
29,792,68
26,133,42
27,414,48
20,749,78
28,718,68
27,579,43
29,596,76
21,448,54
25,571,71
24,796,56
23,903,55
23,378,77
27,286,57
25,682,66
29,757,60
24,787,60
20,616,52
25,114,47
25,227,58
21,278,44
21,872,45
24,671,77
20,481,71
23,803,68
28,226,58
25,468,63
22,463,71
27,862,79
22,92,72
24,223,49
22,452,48
24,699,42
24,936,70
26,825,44
25,426,55
23,331,64
21,829,57
24,226,51
28,37,65
27,533,57
20,78,46
25,55,68
26,402,79
23,354,51
22,74,41
22,697,45
25,318,58
28,304,51
27,856,68
26,570,67
21,338,46
24,858,44
22,596,48
23,168,47
28,312,77
24,605,53
29,449,64
21,974,76
25,328,53
23,399,59
23,283,44
26,596,54
22,651,53
26,887,56
25,849,40
22,888,79
20,582,66
21,354,78
25,236,77
25,185,57
22,992,58
25,157,75
22,704,50
26,187,52
27,778,47
26,753,53
23,888,63
27,175,49
25,353,57
24,368,78
23,144,71
21,942,65
29,902,65
24,531,62
20,697,60
25,125,58
23,350,74
29,818,46
22,296,68
27,608,46
24,282,66
25,170,43
25,369,59
23,879,62
26,739,43
25,507,73
28,334,45
20,906,54
24,70,42
21,494,64
24,43,75
23,57,71
25,961,51
23,802,74
21,322,65
22,236,73
27,734,71
23,223,57
21,603,69
27,491,69
27,205,68
22,720,50
22,391,50
24,564,57
27,353,54
26,595,48
25,263,50
29,895,42
24,49,49
24,796,64
22,643,71
29,547,49
24,152,44
29,348,65
24,488,62
23,128,60
26,95,49
26,419,49
24,576,48
28,906,73
25,891,70
28,16,43
27,729,58
26,222,47
24,694,67
28,483,47
26,727,61
27,917,72
25,610,65
QEMU: Terminated

